ID,Name,Brand,Mount,Min. Focal Length (mm),Max. Focal Length (mm),Min. F Value,Max. F Value,Min. Focus Distance (mm),Keywords
EFA3B282-F9CC-4649-98E1-0F8F2E0DE578,AI Nikkor 20mm f/2.8S,Nikon,Nikon F,20,20,2.8,22,250,
50878EAA-9140-4183-8BCF-4D40BD1F2EDF,AF-S Nikkor 24mm f/1.4G ED,Nikon,Nikon F,24,24,1.4,16,250,
F8E59804-9B64-4D24-A03A-1E6AA492AC73,AF-S Nikkor 24mm f/1.8G ED,Nikon,Nikon F,24,24,1.8,16,230,
9EAF15D3-3AD3-4EF2-9BC3-CE0912880B7C,Ai AF Nikkor 24mm f/2.8D,Nikon,Nikon F,24,24,2.8,22,300,
0714071C-1D63-4FB2-842A-3C7C5847EF6F,AI Nikkor 24mm f/2.8S,Nikon,Nikon F,24,24,2.8,22,300,
381D69E0-2D8B-4CCA-B320-F36345E45DEA,AI Nikkor 24mm F2S,Nikon,Nikon F,24,24,2,22,300,
DBAC2C65-DA8E-4A7E-A093-24771897AC57,AI AF Zoom Nikkor 24-50mm F3.3-4.5D,Nikon,Nikon F,24,50,3.3,22,500,
BC5D2DEC-AF5C-4548-A81D-B7247F32525D,AF-S Nikkor 24-70mm f/2.8E ED VR,Nikon,Nikon F,24,70,2.8,22,380,
93F1DD8E-1D3F-48E5-AED2-E01583704CB3,AF-S Nikkor 24-70mm f/2.8G ED,Nikon,Nikon F,24,70,2.8,22,380,
3B6B1DF7-1B31-489F-9888-BD9B519172E4,AF-S Nikkor 24-85mm f/3.5-4.5G ED VR,Nikon,Nikon F,24,85,3.5,29,380,
52C501F5-B794-4CE4-BF8B-4F30A54D5868,AF-S Zoom Nikkor 24-85mm F3.5-4.5G (IF),Nikon,Nikon F,24,85,3.5,22,380,
B2DDE393-9F3C-45F3-829E-C63049530252,AI AF Zoom-Nikkor 24-85mm f/2.8-4D IF,Nikon,Nikon F,24,85,2.8,22,210,
83CA0C73-A77F-4AB4-9408-541C0E52B11B,AF-S Nikkor 24-120mm f/4G ED VR,Nikon,Nikon F,24,120,4,22,450,
CE845803-808F-49CD-9AE4-3ADEC8A0A17B,AF-S VR Zoom-Nikkor 24-120mm f/3.5-5.6G IF-ED,Nikon,Nikon F,24,120,3.5,22,500,
8CF87C4A-3BD5-440C-811C-1983783641D4,AI AF Zoom Nikkor 24-120mm F3.5-5.6D (IF),Nikon,Nikon F,24,120,3.5,22,500,
F2F1B643-F56B-4B38-B025-83F40EB1196A,AF-S Nikkor 28mm f/1.4E ED,Nikon,Nikon F,28,28,1.4,16,280,
4D525C21-C16C-4BAB-B689-30B5907B0C7B,AF-S Nikkor 28mm f/1.8G,Nikon,Nikon F,28,28,1.8,16,250,
9F4F56BA-11C7-4667-9B79-FC27167583F6,Ai AF Nikkor 28mm f/2.8D,Nikon,Nikon F,28,28,2.8,22,250,
12357097-3725-4623-999F-6454BB645F26,AI AF Nikkor 28mm F1.4D,Nikon,Nikon F,28,28,1.4,16,350,
BB222AC2-C593-4568-944E-AF6AC2C0CF5C,AI Nikkor 28mm f/2.8S,Nikon,Nikon F,28,28,2.8,22,200,
C536648B-F293-47D1-9CDD-C24F22EB87FC,AI Nikkor 28mm F2S,Nikon,Nikon F,28,28,2,22,250,
EBBBCBD8-94FF-4077-A4C2-844D058CE89B,PC Nikkor 28mm F3.5,Nikon,Nikon F,28,28,3.5,22,300,
1CF13B9F-09EC-4CB4-B363-C5596FD287DF,AI AF-S Zoom Nikkor ED 28-70mm F2.8D (IF),Nikon,Nikon F,28,70,2.8,22,700,
59CE64DB-B5D5-44BE-AD90-F89C37D7707B,AF Zoom Nikkor 28-80mm F3.3-5.6G,Nikon,Nikon F,28,80,3.3,22,350,
98EF83AE-EDEC-4932-83D1-0095B02F165E,AI Zoom Nikkor 28-85mm F3.5-4.5S,Nikon,Nikon F,28,85,3.5,22,230,
33D0999D-5F95-4843-B53D-1D91E39B4CD8,AF Zoom Nikkor 28-100mm F3.5-5.6G,Nikon,Nikon F,28,100,3.5,22,560,
680327D6-47C9-46D3-9472-3B2217E8B69F,Ai AF Zoom Nikkor 28-105mm F3.5-4.5D (IF),Nikon,Nikon F,28,105,3.5,22,500,
3A96A88B-28B4-41FA-A067-EA66C26952B1,AF Zoom Nikkor ED 28-200mm F3.5-5.6G (IF),Nikon,Nikon F,28,200,3.5,22,440,
2C5A4AF8-D1A4-40BB-98C1-719843A90282,AI AF Zoom Nikkor 28-200mm F3.5-5.6D (IF),Nikon,Nikon F,28,200,3.5,22,850,
60353B5C-874C-40AA-BCF6-0CFF224AAADB,AF-S Nikkor 28-300mm f/3.5-5.6G ED VR,Nikon,Nikon F,28,300,3.5,38,500,
865D0EF1-2374-42F2-B261-7BEBC6D476E6,AF-S DX Nikkor 35mm f/1.8G,Nikon,Nikon F,35,35,1.8,22,300,
DDAD31C6-FCD6-4A06-9B2E-3D8696827AC3,AF-S Nikkor 35mm f/1.4G,Nikon,Nikon F,35,35,1.4,16,300,
26691A27-F79A-4AD4-9C76-050F2CDE5199,AF-S Nikkor 35mm f/1.8G ED,Nikon,Nikon F,35,35,1.8,16,250,
F02398F0-7032-48DC-A928-C6F9AD8374F3,Ai AF Nikkor 35mm f/2D,Nikon,Nikon F,35,35,2,22,250,
9D616664-A67A-4804-B496-635A884BF8A2,AI Nikkor 35mm f/1.4S,Nikon,Nikon F,35,35,1.4,16,300,
FB3FB2A3-6232-480E-A13C-CCD6E8FC863D,AI Nikkor 35mm F2S,Nikon,Nikon F,35,35,2,22,300,
