ID,Name,Brand,Mount,Media Width,Media Height,Media Size Name,Name.Japan,Name.US,Keywords
97c7e45b-0daa-442a-8bfe-881a41abe01c,DMC-G6,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
f6fcd0ac-5187-420f-99ca-fcbcaffe4866,DMC-G7,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
24f7a717-63be-47f6-9653-02706d8c6e12,DMC-G80,Panasonic,MFT,17.3,13,"4/3""",DMC-G8,DMC-G85,Lumix
01885d15-2642-4bde-b6f0-c1bb1d82d456,DMC-GF1,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
fe25adf4-d343-447b-9124-63946e588ecb,DMC-GF2,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
06204162-ace6-40e8-acaa-69068ca10bba,DMC-GF3,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
3f2424da-c601-4c99-b366-47d48a4eeecb,DMC-GF5,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
2f7f916e-a58e-4357-8e6e-21103985b1b1,DMC-GF6,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
425340c4-5d7f-495e-b717-f81aceda17f8,DMC-GF7,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
20c42296-ab27-4ab0-b1d8-dfb84e49ccc8,DMC-GH1,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
79c70ffa-1f50-49a5-9a09-a0c1c443b1c1,DMC-GH2,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
c665e3b2-c4a1-4473-9301-27320f47f486,DMC-GH3,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
b2c822cd-3666-4b80-b640-f1ca47c73fe6,DMC-GH4,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
fb244463-7b24-408e-9380-95803ad6f9fa,DMC-GM1,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
585b4dd4-13f5-4279-9acd-208437e6f316,DMC-GM5,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
4c2084ff-22d5-42b3-9503-203c641618fe,DMC-GX1,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
11fb933a-99c7-49b4-b2b0-fe235c7256dd,DMC-GX7,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
95060322-1826-4f1c-8ee3-58fe6c1001c9,DMC-GX8,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
4ef5d40f-6e36-4100-967a-89d963f9f4c1,DMC-GX80,Panasonic,MFT,17.3,13,"4/3""",DMC-GX7MK2,DMC-GX85,Lumix
9096e45f-4b5b-4e96-a4ad-57263536d4a7,645D,Pentax,Pentax 645,44,33,Medium Format,,,
96cf2f4f-af15-43ee-85fc-506eb27cecfb,645Z,Pentax,Pentax 645,43.8,32.8,Medium Format,,,
abd7b0c9-f5c1-42f8-b14b-3dd3f9384a9c,*ist D,Pentax,Pentax K,23.5,15.7,APS-C,,,
b759b41d-7efd-4fd3-a6a5-68ba263944a6,*ist DL,Pentax,Pentax K,23.5,15.7,APS-C,,,
fd093e62-7458-418b-9f44-c868f0015fef,*ist DL 2,Pentax,Pentax K,23.5,15.7,APS-C,,,
69b8df3e-bc68-485f-9e22-4b4fedf7f1f3,*ist DS,Pentax,Pentax K,23.5,15.7,APS-C,,,
842fb98d-2f75-46dd-bfea-51be9793edec,*ist DS 2,Pentax,Pentax K,23.5,15.7,APS-C,,,
